,Symbol,Trade Date,Trade Type,Quantity,Price,currPrice,PnL
265,BAJFINANCE,2022-05-19,buy,3,5699.0,7517.60009765625,5455.80029296875
168,DIVISLAB,2022-05-24,buy,4,3695.0,3696.39990234375,5.599609375
297,KPITTECH,2022-05-24,buy,21,486.0,1517.699951171875,21665.698974609375
94,HAPPSTMNDS,2022-05-24,buy,12,910.0,934.7000122070312,296.400146484375
186,AFFLE,2022-05-25,buy,11,945.0,1212.199951171875,2939.199462890625
254,BERGEPAINT,2022-05-25,buy,22,567.0,585.3499755859375,403.699462890625
153,POLYCAB,2022-07-14,buy,5,2145.0,5674.64990234375,17648.24951171875
282,BORORENEW,2022-08-19,buy,21,561.0,430.20001220703125,-2746.7997436523438
124,RELAXO,2022-08-22,buy,1,987.0,911.7000122070312,-75.29998779296875
125,RELAXO,2022-08-22,buy,4,987.0,911.7000122070312,-301.199951171875
126,RELAXO,2022-08-22,buy,1,987.0,911.7000122070312,-75.29998779296875
127,RELAXO,2022-08-22,buy,6,987.0,911.7000122070312,-451.7999267578125
306,GARFIBRES,2022-08-22,buy,5,3050.0,3365.550048828125,1577.750244140625
256,BERGEPAINT,2022-08-23,buy,12,661.0,585.3499755859375,-907.80029296875
255,BERGEPAINT,2022-08-23,buy,4,661.0,585.3499755859375,-302.60009765625
110,PRINCEPIPE,2022-08-23,buy,18,580.0,705.3499755859375,2256.299560546875
169,DIVISLAB,2022-08-23,buy,3,3555.0,3696.39990234375,424.19970703125
299,KPITTECH,2022-09-02,buy,5,563.0,1517.699951171875,4773.499755859375
298,KPITTECH,2022-09-02,buy,14,565.0,1517.699951171875,13337.79931640625
231,SONACOMS,2022-09-05,buy,16,522.0,553.0999755859375,497.599609375
35,LAURUSLABS,2022-09-23,buy,20,509.5,385.45001220703125,-2480.999755859375
232,SONACOMS,2022-09-23,buy,21,474.0,553.0999755859375,1661.0994873046875
203,DMART,2022-09-28,buy,3,4301.0,4045.64990234375,-766.05029296875
257,BERGEPAINT,2022-09-28,buy,20,630.0,585.3499755859375,-893.00048828125
266,BAJFINANCE,2022-09-28,buy,2,7201.0,7517.60009765625,633.2001953125
95,HAPPSTMNDS,2022-09-29,buy,11,988.0,934.7000122070312,-586.2998657226562
36,LAURUSLABS,2022-10-28,buy,25,446.0,385.45001220703125,-1513.7496948242188
322,RAJRATAN,2022-10-31,buy,12,840.0,731.7999877929688,-1298.400146484375
170,DIVISLAB,2022-11-07,buy,4,3451.0,3696.39990234375,981.599609375
289,DEVYANI,2022-11-10,buy,50,175.0,184.6999969482422,484.9998474121094
135,DEEPAKNTR,2022-11-10,buy,5,2101.0,2306.550048828125,1027.750244140625
128,RELAXO,2022-11-11,buy,11,920.0,911.7000122070312,-91.29986572265625
204,DMART,2022-11-11,buy,3,4122.0,4045.64990234375,-229.05029296875
9,TATACHEM,2022-11-18,buy,10,1011.0,1030.1500244140625,191.500244140625
331,PRAJIND,2022-11-18,buy,2,401.0,542.2999877929688,282.5999755859375
330,PRAJIND,2022-11-18,buy,2,401.0,542.2999877929688,282.5999755859375
267,BAJFINANCE,2022-11-18,buy,2,6760.0,7517.60009765625,1515.2001953125
329,PRAJIND,2022-11-18,buy,17,401.0,542.2999877929688,2402.0997924804688
258,BERGEPAINT,2022-11-18,buy,17,601.0,585.3499755859375,-266.0504150390625
172,DIVISLAB,2022-11-18,buy,2,3285.0,3696.39990234375,822.7998046875
171,DIVISLAB,2022-11-18,buy,1,3285.0,3696.39990234375,411.39990234375
205,DMART,2022-11-18,buy,3,3930.0,4045.64990234375,346.94970703125
233,SONACOMS,2022-11-23,buy,25,431.0,553.0999755859375,3052.4993896484375
37,LAURUSLABS,2022-12-12,buy,25,404.0,385.45001220703125,-463.74969482421875
333,NEOGEN,2022-12-16,buy,9,1220.0,1505.6500244140625,2570.8502197265625
96,HAPPSTMNDS,2022-12-16,buy,11,920.0,934.7000122070312,161.70013427734375
187,AFFLE,2022-12-16,buy,10,1111.0,1212.199951171875,1011.99951171875
154,POLYCAB,2022-12-23,buy,4,2550.0,5674.64990234375,12498.599609375
234,SONACOMS,2022-12-23,buy,26,401.0,553.0999755859375,3954.599365234375
283,BORORENEW,2023-01-11,buy,22,499.0,430.20001220703125,-1513.5997314453125
206,DMART,2023-01-11,buy,3,3880.0,4045.64990234375,496.94970703125
269,BAJFINANCE,2023-01-18,buy,1,6000.0,7517.60009765625,1517.60009765625
