Date,AFFLE,BAJFINANCE,BEL,BERGEPAINT,DEEPAKNTR,DEVYANI,DIVISLAB,DIXON,DMART,FINEORG,GARFIBRES,HAPPSTMNDS,IONEXCHANG,KPITTECH,LAURUSLABS,NAUKRI,PRAJIND,PRINCEPIPE,RAJRATAN,RBA,RELAXO,SONACOMS,TATACHEM,Total,,
23/09/16,,1119.338867,32.7786026,212.7768555,119.3753128,,1297.967529,,,,516.2892456,,25.7009964,,,845.2232666,84.59204865,,38.48995972,,230.6944733,,521.2877808,"11,31,494 ",,
30/09/16,,1049.41748,32.3538475,213.4718018,116.8647461,,1255.052246,,,,518.5197144,,24.30902481,,,838.9041748,78.73307037,,37.28443146,,221.7510834,,499.2896729,"11,15,251 ",,
07/10/16,,1075.936035,32.96045303,216.4968719,118.6369171,,1237.341064,,,,538.5943604,,24.95451355,,,921.8911743,79.26569366,,39.355793,,221.1069794,,514.0502319,"11,25,554 ",,
14/10/16,,1054.284058,32.93447495,216.0063324,118.9322815,,1201.821777,,,,526.4503784,,26.49578285,,,874.6958008,80.96044159,,39.77834702,,219.3728027,,515.7643433,"11,20,451 ",,
21/10/16,,1125.893921,32.89161301,215.3931427,121.0490341,,1236.07605,,,,523.9224854,,26.32013893,,,887.2844849,78.82991028,,50.8393898,,214.0959625,,552.0946045,"11,37,600 ",,
28/10/16,,1073.254272,34.50748825,211.6322327,111.9420547,,1255.587402,,,,550.539978,,31.59821892,,,890.4439697,81.44465637,,61.69744492,,216.300827,,516.0501709,"11,32,502 ",,
04/11/16,,987.3919678,33.75800705,212.0819092,102.4412613,,1218.948853,,,,519.9076538,,28.90648842,,,904.4643555,80.42781067,,61.009758,,203.5175171,,486.5288696,"11,13,208 ",,
11/11/16,,852.0184937,33.89569473,176.7213135,98.35542297,,1196.37207,,,,515.2979126,,27.27300453,,,883.012146,78.53937531,,58.02700424,,199.5289307,,459.6264648,"10,80,606 ",,
18/11/16,,872.9750977,34.04507065,153.7062378,92.49741364,,1150.391602,,,,580.9244995,,24.68665886,,,880.9847412,71.90565491,,51.84606934,,200.3216705,,441.9613647,"10,64,414 ",,
25/11/16,,871.7335815,33.87750244,180.07341,92.05436707,,1126.063232,,,,606.352356,,24.59444427,,,899.4776611,73.45513916,,55.8272171,,204.7809753,,442.8660278,"10,75,071 ",,
02/12/16,,878.9342651,36.86634827,184.1204681,89.44534302,,1104.800171,,,,616.6126709,,25.38044739,,,881.4297485,73.55198669,,55.14781952,,207.7042999,,448.7226868,"10,78,097 ",,
09/12/16,,889.362915,39.34341812,180.1551666,102.4904785,,1129.469238,,,,637.1829834,,27.69015884,,,846.8173828,77.47411346,,57.09489441,,202.9229279,,479.5771484,"10,88,415 ",,
16/12/16,,844.7184448,37.5599823,164.8254089,95.99253082,,1121.781372,,,,620.131958,,25.47705269,,,859.4261475,75.82778931,,54.12870789,,198.4884186,,454.5316772,"10,70,252 ",,
23/12/16,,803.2026367,35.96619034,165.2342072,83.4888916,,842.8322144,,,,626.3278198,,24.92816734,,93.20163727,816.8034668,78.24884796,,52.30176926,,197.4479065,,462.1500549,"10,47,393 ",,
30/12/16,,833.5449219,35.70250702,172.142807,90.38066101,,762.0619507,,,,606.5505981,,25.59121895,,94.3423233,889.291748,78.00674438,,52.76990128,,199.1077728,,477.6725159,"10,54,950 ",,
06/01/17,,872.428833,36.63644409,179.4602051,99.14304352,,717.6384277,,,,623.7999268,,26.80315971,,92.80828857,863.8269653,81.20254517,,56.00121307,,199.1820831,,483.1005859,"10,61,279 ",,
13/01/17,,894.6765747,39.66685104,174.9634857,97.86315155,,724.3043823,,,,613.3413086,,27.193964,,96.89902496,839.7959595,80.18570709,,54.09142685,,205.648056,,492.6711731,"10,65,430 ",,
20/01/17,,901.1323853,38.33934021,172.2654572,98.99536896,,694.7697754,,,,610.0698242,,27.65942001,,93.88014984,850.0313721,78.53937531,,53.94228363,,206.0939941,,488.4335022,"10,61,442 ",,
27/01/17,,987.8388672,40.01626968,172.4289703,109.5299377,,688.9795532,,,,615.4725952,,27.93605804,,93.15246582,835.840332,79.02359009,,54.02513885,,215.3594208,,516.9072266,"10,76,766 ",,
03/02/17,,1039.634399,40.09030533,182.5261688,107.46241,,739.3880005,,,,608.6820068,,30.72878647,,98.81654358,824.1709595,80.66992188,,50.99681473,,216.9201813,,533.2391357,"10,91,257 ",,
10/02/17,,1046.586792,42.80789566,187.7586975,107.6100922,,729.0726929,,,,622.4119873,,29.00748062,,105.2673111,850.3776245,80.23412323,,48.83432007,,216.5733643,,539.4766235,"10,97,137 ",,
17/02/17,,1081.44812,42.32258987,182.8123169,102.3427963,,727.9050293,,,,633.5150146,,29.35437393,,98.49205017,828.3244629,75.63410187,,44.6294632,,210.7019348,,536.0007324,"10,90,928 ",,
24/02/17,,1060.789673,41.79430771,188.9033508,102.539711,,729.1700439,,,,655.0766602,,30.75074005,,102.3369293,839.2521362,75.19831085,,46.17884064,,207.3822327,,548.9520264,"10,95,705 ",,
03/03/17,,1036.605103,41.48232269,184.0386963,121.3936234,,736.7119141,,,,665.0396118,,32.8891983,,99.43605804,829.9067383,80.282547,,47.44236755,,217.6386261,,536.0007324,"10,95,507 ",,
10/03/17,,1086.761841,43.43185806,182.689682,116.9632034,,739.4365845,,,,680.7027588,,31.58504486,,100.4784012,810.8787231,76.16673279,,46.89966965,,220.016922,,532.8106079,"10,97,401 ",,
17/03/17,,1150.32666,44.8974762,189.3121185,114.7479935,,742.6966553,,,,688.0386963,,32.06367493,,103.9987869,829.2559814,76.79621887,,48.76803589,,230.1742096,,550.2376099,"11,12,808 ",,
24/03/17,,1171.481934,43.13651657,187.1455231,120.1629562,,606.3604126,,616.9000244,,689.178772,,33.42052078,,100.3309021,815.0891724,76.02146912,,50.47483063,,232.2056732,,550.4280396,"11,05,143 ",,
31/03/17,,1166.118652,43.35836792,197.447113,129.2207031,,607.3822632,,637.8499756,,705.4366455,,34.14065552,,101.3437424,792.0556641,77.47411346,,50.78553391,,246.2029266,,570.2834473,"11,18,010 ",,
07/04/17,,1190.601196,47.33803558,194.6264343,133.7003632,,605.7279053,,751.2000122,,688.0386963,,34.11869812,,100.3014069,833.1196899,78.4909668,,52.93974686,,244.2210083,,575.282959,"11,35,812 ",,
14/04/17,,1260.323975,48.07282639,193.032135,137.8354187,,631.5159912,,783.25,,691.3100586,,36.34936905,,99.70155334,833.6645508,77.86148071,,52.60832977,,243.9980469,,585.6154785,"11,48,681 ",,
21/04/17,,1238.473389,51.01202774,202.0256042,138.1800232,,614.1942139,,743.2000122,,748.1633911,,35.88830566,,101.9337616,802.1606445,78.4425354,,51.53536987,,241.8674774,,607.7564087,"11,50,255 ",,
28/04/17,,1267.177002,51.64791107,213.6353302,135.2756042,,611.0802002,,736.5,,740.1334839,,34.79931641,,101.9632645,825.6400146,83.38150787,,52.84446716,,243.9732819,,624.4692383,"11,61,000 ",,
05/05/17,,1265.141113,50.72941208,211.918396,136.2109375,,609.4744263,,808.9000244,,804.0253296,,35.31746674,,109.5153656,829.6522827,80.04044342,,50.44169617,,239.3901062,,605.1375732,"11,63,857 ",,
12/05/17,,1306.507813,50.67288971,209.7926788,139.6568298,,609.1825562,,751.7999878,,788.0151978,,35.1637764,,109.4661942,825.392334,80.47623444,,49.71671677,,237.5568542,,598.6143188,"11,58,836 ",,
19/05/17,,1282.720581,49.2598114,202.924942,137.6385193,,594.9260864,,722.9000244,,789.2047729,,35.13304138,,108.09935,843.0266113,78.00674438,,53.30845261,,227.9197998,,589.0437622,"11,47,548 ",,
26/05/17,,1308.593628,49.44351196,211.305191,138.4753723,,531.9642944,,714.9000244,,773.2442627,,40.665802,,109.1416855,856.9952393,77.42568207,,50.44998169,,236.2438202,,582.9014282,"11,49,743 ",,
02/06/17,,1350.804688,48.63806152,208.3210144,139.5583649,,601.7379761,,779.6500244,,801.6461182,,40.32768631,,117.9328156,897.9107056,74.32672119,,51.69693375,,233.3700562,,607.565979,"11,70,364 ",,
09/06/17,,1367.689209,47.50759888,205.3777008,150.2406158,,633.3162231,,802.3499756,,816.2683105,,43.79225159,,122.603714,1029.573242,76.6025238,,50.95539093,,241.594986,,590.3294067,"11,82,149 ",,
16/06/17,,1397.385864,47.91739273,205.4594574,158.5107422,,624.8986206,,800.0999756,,828.4122925,,46.15465546,,118.6703186,1000.348022,75.92462921,,51.2329483,,240.6287994,,583.2348022,"11,82,225 ",,
23/06/17,,1391.724609,46.56084061,200.4721832,161.8637543,,621.2980957,,801.5999756,,816.2683105,,44.12596893,,119.3881683,978.8995972,75.14987946,,50.39197922,,242.7593536,,577.3780518,"11,76,911 ",,
30/06/17,,1364.858521,45.59994888,201.2489014,159.8292847,,629.47229,,815.0999756,,810.1716309,,43.80981445,,120.8336868,1018.477722,73.01934814,,49.3853035,,238.7459869,,576.4733276,"11,76,482 ",,
