Date,AFFLE,BAJFINANCE,BEL,BERGEPAINT,BORORENEW,DEEPAKNTR,DEVYANI,DIVISLAB,DIXON,DMART,FINEORG,GARFIBRES,HAPPSTMNDS,IONEXCHANG,KPITTECH,LAURUSLABS,MOLDTKPAC,NAUKRI,NEOGEN,POLYCAB,PRAJIND,PRINCEPIPE,RAJRATAN,RBA,RELAXO,SONACOMS,TATACHEM,Total
2021-04-28,1105.5699462890625,5256.8134765625,42.443260192871094,591.77978515625,236.0,1764.7618408203125,,3822.7587890625,4164.552734375,2936.800048828125,2784.314697265625,2582.085693359375,660.5591430664062,117.33656311035156,193.4552001953125,472.22021484375,46.04127502441406,4996.53125,866.3374633789062,1541.795654296875,236.7809600830078,492.3148193359375,1024.30517578125,131.8000030517578,865.4287719726562,,741.3391723632812,3068067.5358200073
2021-04-29,1109.6500244140625,5461.54345703125,42.80588150024414,589.0181274414062,236.9499969482422,1774.0362548828125,,3848.8466796875,4226.482421875,2906.35009765625,2890.31494140625,2602.173095703125,700.9873046875,122.26481628417969,194.84945678710938,455.89727783203125,44.55915451049805,4980.3076171875,866.7360229492188,1521.4990234375,230.05393981933594,491.3679504394531,1013.77294921875,131.25,862.5935668945312,,739.6912231445312,3085033.506134033
2021-04-30,1103.5400390625,5430.72412109375,43.44871520996094,579.9912109375,231.5500030517578,1850.3638916015625,,4000.008544921875,4201.0615234375,2852.89990234375,2852.091064453125,2614.98291015625,721.6251220703125,132.52142333984375,196.39312744140625,450.97052001953125,44.224483489990234,4897.89306640625,861.5056762695312,1449.596923828125,232.1313934326172,527.298583984375,1003.9363403320312,129.85000610351562,870.2037963867188,,768.7244262695312,3102422.048591614
2021-05-03,1104.5999755859375,5529.455078125,42.921268463134766,586.9983520507812,230.85000610351562,1887.1639404296875,,4011.4775390625,4241.86474609375,2898.64990234375,2854.9814453125,2685.761962890625,748.8430786132812,134.71957397460938,201.07388305664062,474.6586608886719,43.60295486450195,4849.7685546875,860.1607666015625,1460.8563232421875,244.74453735351562,539.6575927734375,1006.1221923828125,129.3000030517578,873.4368896484375,,758.8850708007812,3133777.8075256348
2021-05-04,1094.1400146484375,5591.4912109375,43.77836990356445,582.3818969726562,252.85000610351562,1847.9833984375,,3925.387451171875,4130.341796875,2858.39990234375,2845.1640625,2652.864501953125,746.6497192382812,127.91323852539062,203.11549377441406,488.7919616699219,42.74237060546875,4773.22607421875,843.5233764648438,1430.1893310546875,241.38104248046875,541.0030517578125,1045.568359375,128.9499969482422,885.1755981445312,,686.6172485351562,3113235.8458251953
2021-05-05,1101.06005859375,5493.6572265625,45.45962142944336,586.2977294921875,246.10000610351562,1891.3795166015625,,3972.493408203125,4109.5654296875,2874.39990234375,2882.24169921875,2616.279052734375,743.7584228515625,129.4947967529297,201.7212371826172,489.040771484375,43.411712646484375,4819.90771484375,844.6192016601562,1422.8311767578125,251.81781005859375,571.1529541015625,1063.9002685546875,126.80000305175781,893.084228515625,,677.359619140625,3134430.0279541016
2021-05-06,1055.780029296875,5505.7060546875,46.94307327270508,592.1507568359375,247.9499969482422,1874.96337890625,,3999.368896484375,4113.810546875,2878.14990234375,3019.887451171875,2666.17333984375,808.0147705078125,132.15896606445312,203.31468200683594,479.2370910644531,44.224483489990234,4736.19921875,901.1065063476562,1459.1279296875,246.2779083251953,581.2693481445312,1065.0428466796875,130.89999389648438,889.9506225585938,,655.6453247070312,3149683.5605163574
2021-05-07,1057.4100341796875,5467.81640625,45.45962142944336,589.59521484375,253.3000030517578,1788.51806640625,,3966.832763671875,3951.09619140625,2895.5,3094.04296875,2679.33203125,829.9486694335938,135.3314971923828,201.27308654785156,485.15911865234375,43.69857406616211,4654.87939453125,892.289794921875,1444.461181640625,264.3815002441406,577.880615234375,1033.5953369140625,129.39999389648438,877.11767578125,,659.18359375,3132076.6165008545
2021-05-10,1052.6700439453125,5473.54248046875,47.734249114990234,596.025390625,270.1499938964844,1761.6868896484375,,4072.7099609375,3862.397216796875,2852.449951171875,3234.330078125,2630.335205078125,856.9173583984375,135.3267822265625,202.3685760498047,488.34405517578125,44.893829345703125,4599.388671875,893.1864013671875,1473.2022705078125,302.7650146484375,571.402099609375,1052.1756591796875,128.64999389648438,891.2439575195312,,662.9157104492188,3157961.4580078125
2021-05-11,1055.6099853515625,5403.58935546875,49.00342559814453,606.6598510742188,266.29998779296875,1782.6163330078125,,4011.280517578125,3955.890625,2850.550048828125,3279.580810546875,2688.9521484375,839.220703125,135.82101440429688,207.04933166503906,489.09051513671875,44.12886428833008,4469.34716796875,913.5098266601562,1531.2275390625,315.9222717285156,584.4588012695312,1040.4014892578125,129.0,887.4138793945312,,675.4692993164062,3161606.8940811157
