id,SecurityName,Result Date
541143,BDL,07-Feb-23
532454,BHARTIARTL,07-Feb-23
543232,CAMS,07-Feb-23
500085,CHAMBLFERT,07-Feb-23
541269,CHEMFABALKA,07-Feb-23
508906,EVERESTIND,07-Feb-23
500660,GLAXO,07-Feb-23
500670,GNFC,07-Feb-23
500690,GSFC,07-Feb-23
500182,HEROMOTOCO,07-Feb-23
532774,INSPIRISYS,07-Feb-23
530049,JJEXPO,07-Feb-23
539947,JLL,07-Feb-23
543278,KALYANKJIL,07-Feb-23
543498,MSUMI,07-Feb-23
532504,NAVINFLUOR,07-Feb-23
533098,NHPC,07-Feb-23
504093,PANAENERG,07-Feb-23
539302,POWERMECH,07-Feb-23
531562,PUSHPIN,07-Feb-23
500260,RAMCOCEM,07-Feb-23
532988,RANEENGINE,07-Feb-23
532410,TRANSCOR,07-Feb-23
507747,TTKHEALTH,07-Feb-23
541578,VARROC,07-Feb-23
538268,WONDERLA,07-Feb-23
539506,ADCON,08-Feb-23
511698,BHAGYFN,08-Feb-23
500089,DICIND,08-Feb-23
509525,EMPIND,08-Feb-23
540153,ENDURANCE,08-Feb-23
500495,ESCORTS,08-Feb-23
506480,GOCLCORP,08-Feb-23
540743,GODREJAGRO,08-Feb-23
538422,JACKSON,08-Feb-23
532621,MORARJEE,08-Feb-23
517334,MOTHERSON,08-Feb-23
500672,NOVARTIND,08-Feb-23
540293,PRICOLLTD,08-Feb-23
532661,RML,08-Feb-23
533168,ROSSELLIND,08-Feb-23
500387,SHREECEM,08-Feb-23
505504,SINDUVA,08-Feb-23
517201,SWITCHTE,08-Feb-23
500710,AKZOINDIA,09-Feb-23
506767,ALKYLAMINE,09-Feb-23
504973,CHOLAHLDNG,09-Feb-23
532656,FACORALL,09-Feb-23
530263,GLOBALCA,09-Feb-23
532334,HBESD,09-Feb-23
532333,HBPOR,09-Feb-23
533451,KARMAENG,09-Feb-23
530557,NCLRESE,09-Feb-23
500307,NIRLON,09-Feb-23
532827,PAGEIND,09-Feb-23
524820,PANAMAPET,09-Feb-23
532987,RBL,09-Feb-23
541556,RITES,09-Feb-23
506655,SUDARSCHEM,09-Feb-23
522267,VJLAXMIE,09-Feb-23
500002,ABB,10-Feb-23
523319,BALMLAWRIE,10-Feb-23
505688,BHARATGEAR,10-Feb-23
514183,BLACKROSE,10-Feb-23
520131,COARO,10-Feb-23
523618,DREDGECORP,10-Feb-23
526574,ENTRINT,10-Feb-23
500133,ESABINDIA,10-Feb-23
500650,EXCELINDUS,10-Feb-23
532296,GLENMARK,10-Feb-23
531737,GREENCREST,10-Feb-23
508956,HBLEAS,10-Feb-23
532216,HBSTOCK,10-Feb-23
543258,INDIGOPNTS,10-Feb-23
511092,JMDVL,10-Feb-23
523405,JMFINANCIL,10-Feb-23
505890,KENNAMET,10-Feb-23
543720,KFINTECH,10-Feb-23
535730,KHOOBSURAT,10-Feb-23
500241,KIRLOSBROS,10-Feb-23
523323,KOVAI,10-Feb-23
500520,M&M,10-Feb-23
532629,MBECL,10-Feb-23
517344,MINDTECK*,10-Feb-23
500730,NOCIL,10-Feb-23
500346,PUNJCOMMU,10-Feb-23
511712,RELICTEC,10-Feb-23
505192,SMLISUZU,10-Feb-23
526901,SONALAD,10-Feb-23
531411,TUNITEX,10-Feb-23
531762,UNJHAFOR,10-Feb-23
509038,VOLLF,10-Feb-23
500038,BALRAMCHIN*,11-Feb-23
519500,BKV,11-Feb-23
535431,GCMSECU,11-Feb-23
507690,ORIBEVER,11-Feb-23
531265,PROGREXV,11-Feb-23
507966,RASRESOR,11-Feb-23
540961,SHIVAMILLS,11-Feb-23
539008,TIRUFIN,11-Feb-23
523007,ANSALBU,13-Feb-23
530413,ASIANVE,13-Feb-23
500870,CASTROLIND,13-Feb-23
530171,DAULAT,13-Feb-23
531306,DHPIND,13-Feb-23
533208,EMAMIPAP,13-Feb-23
532835,ICRA,13-Feb-23
500106,IFCI,13-Feb-23
500202,INDLEASE,13-Feb-23
514360,KRRAIL,13-Feb-23
590075,LAMBODHARA,13-Feb-23
531288,LEADFIN,13-Feb-23
506919,MAKERSL,13-Feb-23
501343,MOTOGENFIN,13-Feb-23
500460,MUKANDLTD,13-Feb-23
517431,NARMP,13-Feb-23
512024,NDMETAL,13-Feb-23
524558,NEULANDLAB,13-Feb-23
535514,PRIMECAPM,13-Feb-23
537840,RAUNAQEPC,13-Feb-23
530917,RRSECUR,13-Feb-23
530757,SHENTRA,13-Feb-23
531831,UNISH,13-Feb-23
539123,VBIND,13-Feb-23
511690,WARNER,13-Feb-23
500780,ZUARIIND,13-Feb-23
531994,AUTOPINS,14-Feb-23
517203,BEELE,14-Feb-23
532523,BIOCON,14-Feb-23
508939,BLCISER,14-Feb-23
500530,BOSCHLTD,14-Feb-23
542679,DEL,14-Feb-23
526967,HEERAISP,14-Feb-23
531979,HINDALUMI,14-Feb-23
526931,HRYNSHP,14-Feb-23
532907,IL&FSENGG,14-Feb-23
532001,INDCTST,14-Feb-23
524494,IPCALAB,14-Feb-23
514036,LOYALTEX,14-Feb-23
505797,MPCOSEMB,14-Feb-23
500108,MTNL,14-Feb-23
512425,NIRAVCOM,14-Feb-23
505502,PSITINFRA,14-Feb-23
505800,RANEHOLDIN,14-Feb-23
530125,SAMRATPH,14-Feb-23
503804,SHRIDINE,14-Feb-23
521226,UNIROYAL,14-Feb-23
503349,VICTMILL,14-Feb-23
511726,VIPUL,14-Feb-23
522209,YOGISUNG,14-Feb-23
500790,NESTLEIND,16-Feb-23
500339,RAIN,27-Feb-23
